name,description,price
Shatavari Powder,50gm,80
Sandal Wood Powder,15gm,50
Reetha Fruit Powder,50gm,50
Orange Peel Powder,50gm,50
Calamus Root Powder,50gm,50
Amla Powder,50gm,50
Liquorice Powder,50gm,50
Jamun Seed Powder,50gm,50
Bhimseni Kapoor,20gm,80
Triphala Churna,50gm,50
Bhringraj Powder,50gm,50
Gokhru Churna,50gm,50
LIquorice ,50gm,50
Calamus Root,50gm,50
Dikamali Powder,15gm,20
Shikakai Powder,50gm,50
Sendhav Salt/ Shedelon,50gm,20
Black Salt,50gm,20
Mukhvas,0ml,0
Multani Mitti,50gm,25
Multani Mitti,100gm,40
Menthol Crystal,10gm,80
Neem Powder,50gm,50
Rose Petal Powder,25gm,50
Halim Seesds,50gm,50
Hibiscus Flower Powder,25gm,50
Methi Seeds Churna,50gm,50
Giloy Powder,50gm,50
Elaichi Powder,0ml,0
Ambehalad Powder,50gm,50
Vavding,0ml,0
Arjun Sal Churna ,50gm,50
Ginger Powder,0ml,0
Nutmeg Powder,0ml,0
Amla Candy,0ml,0
Kalongi Seeds,50gm,80
Dalchini Powder,0ml,0
Jeeri Powder,0ml,0
Withania Somnifera Powder,50gm,90
Kasturi Haldi,50gm,80
MurudSheng,50gm,50
Thymol Crystal,10gm,90
Carom Seeds,50gm,50
Clove Powder,0ml,0
Adulasa Churna,50gm,50
Shepa Seeds,0ml,0
Trikatu Churna,0ml,0
Ambala Supari,0ml,0
Kalimiri Powder,0ml,0
Giloy Powder,0ml,0
Dink,50gm,50
Tulsi Seeds,50gm,50
Sitopaladi Churna,50gm,125
Tulsi Powder,0ml,0
Kavach Bee,50gm,50
Panner Phool,50gm,50
Safed Musli Powder,25gm,125
Anantmul Powder,0ml,0
Baheda Powder,0ml,0
Haritaki Churna,0ml,0
Karela Churna,50gm,50
Gurmar Churna,0ml,0
Nagarmotha Churna,0ml,0
Bel Paan Churna,0ml,0
Bavachi Churna,0ml,0
Aloe Vera Churna ,50gm,50
Pippali Churna,0ml,0
Akarkara Churna,0ml,0
Chopchini Churna,0ml,0
Chia Seeds,60gm,80
Bramhi Powder,50gm,50
Indigo,0ml,0
Babul Beej Churna,0ml,0
Jatamansi Churna,0ml,0
Javas Seeds,0ml,0
Mehendi,0ml,0
Niranjan Phal,0ml,0
Papaya Churna,50gm,50
Pashanbhed Churna,0ml,0
Punarnava Churna,0ml,0
Sanay Churna,0ml,0
Sabja Seeds,50gm,50
Shivlingi Seed,0ml,0
Soyabean Powder,0ml,0
Kadu Jire,0ml,0
Moringa,50gm,50
Meda Lakdi,0ml,0
Amla Powder,50gm,50
Baheda ,50gm,50
Haritaki ,50gm,50
Reetha Fruit ,0ml,0
Shikakai ,0ml,0
Vala,0ml,0
Balant Dhuri,100gm,125
Chirayata Churna,0ml,0
Sarpagandha Churna,0ml,0
Shahi Ubtan,0ml,0
Vidarikand Churna,0ml,0
Meda Lakdi Churna,0ml,0
Kutaj Churna,0ml,0
Gavankur Powder,0ml,0
Beetroot Powder,0ml,0
Ayush Kaadha Powder,100gm,125
Yovan Shakti ,0ml,0
Balguti ,0ml,0
Alepak Vadi,0ml,0
Glycerin,200ml,180
Glycerin,100ml,99
Glycerin,50ml,55
Sesamum Oil,200ml,180
Sesamum Oil,100ml,99
Sesamum Oil,50ml,55
Castor Oil,200ml,180
Castor Oil,100ml,99
Castor Oil,50ml,55
Mustard Oil,200ml,180
Mustard Oil,100ml,99
Mustard Oil,50ml,55
Karanj Oil,200ml,0
Karanj Oil,100ml,99
Karanj Oil,50ml,55
Neem Oil,200ml,0
Neem Oil,100ml,99
Neem Oil,50ml,55
Kewra Water,200ml,0
Kewra Water,100ml,0
Kewra Water,50ml,0
Rose Water,200ml,0
Rose Water,100ml,0
Rose Water,50ml,0
Moringa Powder,0ml,0
Pumkin Seeds,0ml,0
Sunflower Seeds,0ml,0
Flax Seeds,0ml,0
Kalongi Seeds,0ml,0
Chia Seeds,0ml,0
Haliv Seeds,0ml,0
Basil Seeds,0ml,0
Watermelon Seeds,0ml,0
Subja Seeds,0ml,0
Mix Seeds,0ml,0
